EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,Silicate,SILCAT_FLAG_W,Nitrate,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,Phosphate,PHSPHT_FLAG_W,CFC11,CFC11_FLAG_W,CFC12,CFC12_FLAG_W,DELC14,DELC14_FLAG_W,DELC13,DELC13_FLAG_W,tCO2,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TMP,SA,CT,pdens
31DSCG94_3,P18N,148,1,119,1248,2,19940414,1226,1.0007,-110.333,3675,800.8,5.5138,34.5506,2,34.5499,2,62.1,2,65.8,2,68.83,2,39.86,2,0,2,2.79,2,0.001,2,-0.001,2,-999,5,0.1,2,2289,2,2329,2,25,34.72085247,5.443507444,27.27281344
31DSCG94_3,P18N,148,1,118,1115,2,19940414,1226,1.0007,-110.333,3675,898.5,5.0317,34.5481,2,34.5477,2,69.5,2,73.5,2,76.06,2,39.56,2,0,2,2.78,2,0.029,2,0.01,2,-999,9,-999,9,2293.5,2,2337,2,25,34.71922885,4.955898046,27.32898122
31DSCG94_3,P18N,148,1,117,1119,2,19940414,1226,1.0007,-110.333,3675,1000.4,4.5969,34.5541,2,34.5541,2,76.2,2,78.1,2,84.68,2,39.78,2,0.01,2,2.8,2,0.003,2,0,2,-999,9,-999,9,2301.7,2,2350,2,25,34.72620398,4.515333321,27.38401083
31DSCG94_3,P18N,149,2,236,1025,2,19940414,1850,1.3327,-110.3337,3775,9.7,25.9433,34.7897,2,34.7941,2,189.8,2,200.3,6,4.28,2,5.1,2,0.15,2,0.59,2,1.741,2,0.981,2,-999,9,-999,9,2021.8,2,2288,2,-999,34.95412612,25.9510231,22.89481259
31DSCG94_3,P18N,149,2,234,1216,2,19940414,1850,1.3327,-110.3337,3775,49.7,18.7259,34.8277,2,34.8411,2,118.8,2,118.3,2,11.61,2,15.84,2,0.44,2,1.25,2,1.258,2,0.672,2,-999,9,-999,9,2115.4,2,2287,2,25,34.99282719,18.71388371,24.96582695
31DSCG94_3,P18N,149,2,232,1003,2,19940414,1850,1.3327,-110.3337,3775,101.4,14.5846,34.9518,2,34.9503,2,68.4,2,64,2,17.24,2,23.73,2,0.45,2,1.72,2,0.879,6,0.472,6,-999,9,-999,9,2180.2,2,2297,2,25,35.11842321,14.56002254,26.03350086
31DSCG94_3,P18N,149,2,230,1241,2,19940414,1850,1.3327,-110.3337,3775,148.8,13.4435,34.9068,2,34.906,2,68,2,67.6,2,20.15,2,25.37,2,0.04,2,1.77,2,0.726,2,0.39,2,-999,9,-999,9,2187.1,2,2303,2,25,35.07363427,13.41384923,26.24001662
31DSCG94_3,P18N,149,2,228,1032,2,19940414,1850,1.3327,-110.3337,3775,199.6,12.7893,34.8908,2,34.8892,2,54.8,2,46.5,2,23,2,28.66,2,0.05,3,1.97,2,0.519,2,0.285,6,-999,9,-999,9,2209.6,2,2300,2,25,35.05782481,12.75365513,26.3608656
31DSCG94_3,P18N,149,2,227,1008,2,19940414,1850,1.3327,-110.3337,3775,251,12.3482,34.858,2,34.8542,2,41.6,2,27.3,2,25.72,2,31.56,2,0.04,4,2.16,2,-999,9,-999,9,-999,9,-999,9,2229.9,2,2302,2,25,35.02512298,12.30696459,26.42332296
31DSCG94_3,P18N,149,2,226,1007,2,19940414,1850,1.3327,-110.3337,3775,302,11.5507,34.8084,2,34.8082,2,23.7,2,18.8,2,29.16,2,33.88,2,0.03,4,2.29,2,0.257,2,0.143,2,-999,9,-999,9,2243.5,2,2301,2,25,34.97560231,11.50532106,26.53740575
31DSCG94_3,P18N,149,2,223,1220,2,19940414,1850,1.3327,-110.3337,3775,399.3,9.5366,34.6881,2,34.6864,2,25.9,2,28,2,35.73,2,37.37,2,0.05,4,2.49,2,0.089,2,0.055,2,-999,9,-999,9,2258.1,2,2303,2,25,34.85562355,9.486806704,26.79897828
31DSCG94_3,P18N,149,2,222,1245,2,19940414,1850,1.3327,-110.3337,3775,499.6,8.2345,34.6288,2,34.6278,2,32.7,2,35.4,2,41.84,2,39.66,2,0.04,4,2.64,2,-999,9,-999,9,-999,9,-999,9,2266.6,2,2304,2,25,34.7968881,8.179003451,26.96014014
31DSCG94_3,P18N,149,2,221,1206,2,19940414,1850,1.3327,-110.3337,3775,600.2,7.2393,34.5858,2,34.5855,2,43.7,2,48,6,48.72,2,40.89,2,0.04,4,2.72,2,0,2,0.001,2,-999,9,-999,9,2270.4,2,2321,2,25,34.75447544,7.178240302,27.07283799
31DSCG94_3,P18N,149,2,220,1028,2,19940414,1850,1.3327,-110.3337,3775,699.9,6.1755,34.563,2,34.5619,2,41.5,2,50.3,2,61.7,2,42.85,2,0.05,4,2.88,2,-999,9,-999,9,-999,9,-999,9,2288.1,2,2319,2,25,34.7324462,6.110467385,27.19892077
31DSCG94_3,P18N,149,2,219,1248,2,19940414,1850,1.3327,-110.3337,3775,798,5.5038,34.5538,2,34.5535,2,49.9,2,54.3,2,71.3,2,43.18,2,0,2,2.91,2,0.006,2,0.001,2,-999,9,-999,9,2298.1,2,2333,2,25,34.72408866,5.433785722,27.2765302
31DSCG94_3,P18N,149,2,217,1119,2,19940414,1850,1.3327,-110.3337,3775,1000,4.4281,34.5588,2,34.5577,2,69.8,2,72.1,2,90.69,2,40.77,2,0.04,4,2.85,2,0.001,2,0,2,-999,9,-999,9,2308.9,2,2353,6,25,34.73098221,4.347891823,27.40601214
31DSCG94_3,P18N,150,1,136,1025,2,19940415,18,1.6767,-110.3367,3796,8.4,26.133,34.7233,2,34.7308,2,203.7,2,202,6,3.83,2,4.98,2,0.09,2,0.57,2,-999,9,-999,9,-999,9,-999,9,2015.9,2,2282,6,25,34.88740696,26.14400505,22.78543169
31DSCG94_3,P18N,150,1,134,1216,2,19940415,18,1.6767,-110.3367,3796,50.7,21.3272,34.7581,2,34.7436,2,92.8,2,169.1,2,6.3,2,9.3,2,0.15,2,0.86,2,-999,9,-999,9,-999,9,-999,9,2061.6,2,2285,2,25,34.92291441,21.31978244,24.22724583
31DSCG94_3,P18N,150,1,132,1003,2,19940415,18,1.6767,-110.3367,3796,97,14.8475,34.9357,2,34.9478,2,71.6,2,76,2,16.58,2,21.94,2,0.3,2,1.62,2,-999,9,-999,9,-999,9,-999,9,2170.2,2,2296,2,25,35.10217915,14.82388757,25.96394974
31DSCG94_3,P18N,150,1,130,1241,2,19940415,18,1.6767,-110.3367,3796,149.4,13.6474,34.9237,2,34.9237,2,76.8,2,71,2,18.82,2,24.44,2,0,2,1.74,2,-999,9,-999,9,-999,9,-999,9,2182.7,2,2295,2,25,35.09063136,13.61709353,26.211243
31DSCG94_3,P18N,150,1,128,1032,2,19940415,18,1.6767,-110.3367,3796,197.4,12.9778,34.899,2,34.898,2,59.4,2,56.4,2,21.59,2,26.8,2,0,2,1.88,2,-999,9,-999,9,-999,9,-999,9,2201.1,2,2297,2,25,35.06606279,12.9420303,26.32967121
31DSCG94_3,P18N,150,1,127,1008,2,19940415,18,1.6767,-110.3367,3796,199.1,12.964,34.898,2,34.8975,2,60.9,2,57.3,2,21.33,2,26.4,2,0,2,1.88,2,-999,9,-999,9,-999,9,-999,9,2200.9,2,2300,2,25,35.06506677,12.92803536,26.33170638
31DSCG94_3,P18N,150,1,126,1007,2,19940415,18,1.6767,-110.3367,3796,250.7,12.3672,34.8579,2,34.8551,2,31.9,2,28.7,2,24.78,2,30.83,2,0,2,2.15,2,-999,9,-999,9,-999,9,-999,9,2227.9,2,2305,2,25,35.02503462,12.32597468,26.41956915
31DSCG94_3,P18N,150,1,123,1220,2,19940415,18,1.6767,-110.3367,3796,397.9,9.5815,34.6835,2,34.6814,2,23.4,2,24.2,2,35.88,2,35.52,2,0,2,2.49,2,-999,9,-999,9,-999,9,-999,9,2261.6,2,2304,2,25,34.85100541,9.531819301,26.78795891
31DSCG94_3,P18N,150,1,122,1245,2,19940415,18,1.6767,-110.3367,3796,497.8,8.1778,34.6273,2,34.6278,2,32,2,36.2,2,41.85,2,38.39,2,0,2,2.62,2,-999,9,-999,9,-999,9,-999,9,2266,2,2303,2,25,34.79539381,8.122742004,26.96746189
31DSCG94_3,P18N,150,1,121,1206,2,19940415,18,1.6767,-110.3367,3796,599.8,7.2885,34.5877,2,34.5869,2,45.9,2,50.1,2,47.43,2,38.73,2,0,2,2.66,2,-999,9,-999,9,-999,9,-999,9,2268.9,2,2316,2,25,34.75641925,7.227217881,27.06747828
31DSCG94_3,P18N,150,1,120,1028,2,19940415,18,1.6767,-110.3367,3796,698.4,6.5777,34.5725,2,34.5726,2,43.6,2,44.1,2,56.67,2,41.49,2,0,2,2.83,2,-999,9,-999,9,-999,9,-999,9,2284,2,2317,2,25,34.74202164,6.510419959,27.15423306
31DSCG94_3,P18N,150,1,119,1248,2,19940415,18,1.6767,-110.3367,3796,797.7,5.7774,34.5584,2,34.5575,2,43.6,2,47,6,67.82,2,42.56,2,0,2,2.92,2,-999,9,-999,9,-999,9,-999,9,2299.1,2,2330,2,25,34.72875575,5.705582656,27.24701663
31DSCG94_3,P18N,150,1,118,1115,2,19940415,18,1.6767,-110.3367,3796,898.5,5.0267,34.5549,2,34.5556,2,52.7,2,55.4,2,80.39,2,42.36,2,0,2,2.91,2,-999,9,-999,9,-999,9,-999,9,2307.3,2,2351,2,25,34.7261645,4.950844961,27.33502528
31DSCG94_3,P18N,150,1,117,1119,2,19940415,18,1.6767,-110.3367,3796,1000.1,4.4396,34.5607,2,34.5612,2,65.2,2,69.5,2,90.47,2,41.73,2,0,2,2.9,2,-999,9,-999,9,-999,9,-999,9,2312.1,2,2357,6,25,34.73295321,4.359264514,27.40634024
31DSCG94_3,P18N,151,1,136,1025,2,19940415,549,2,-110.335,3772,10,26.5854,34.6086,2,34.6091,2,166.5,2,203.5,6,4.68,2,4.61,2,0.05,2,0.52,2,1.699,2,0.969,2,-999,9,1.4,2,2003.9,2,2281,2,25,34.77216677,26.60159153,22.55682112
31DSCG94_3,P18N,151,1,135,1247,2,19940415,549,2,-110.335,3772,24.4,26.0179,34.6841,2,34.6943,2,165.9,2,199.7,2,5,2,5.43,2,0.07,2,0.57,2,1.672,2,0.947,2,-999,9,-999,9,2015.7,2,2280,2,25,34.84813621,26.02659177,22.79303403
31DSCG94_3,P18N,151,1,134,1216,2,19940415,549,2,-110.335,3772,48.4,17.7013,34.8558,2,34.847,2,119.9,2,117.2,2,13.7,2,16.8,2,0.27,2,1.3,2,1.216,2,0.652,2,-999,9,-999,9,2117.9,2,2291,2,25,35.02103569,17.68800348,25.24142308
